date,pm25,pm10,o3,no2,so2
2014/6/18,126,82,8,1,
2014/6/19,185,41,7,2,
2014/6/20,118,9,9,,
2014/6/21,27,10,9,,
2014/6/22,31,9,6,1,
2014/6/23,24,19,9,1,
2014/6/24,43,17,8,2,
2014/6/25,51,15,9,1,
2014/6/26,46,14,11,1,
2014/6/27,38,11,11,,
2014/6/28,30,10,9,2,
2014/6/29,31,10,10,1,
2014/6/30,33,19,12,2,
2020/2/3,,9,26,7,
2020/1/2,,4,27,4,
2020/1/6,,8,29,5,
2020/1/13,,7,31,3,
2020/1/20,,10,22,11,1
2020/1/28,,8,21,9,
2019/9/30,,4,19,9,
2019/10/30,,9,29,5,
2019/11/15,,7,16,11,
2019/11/22,,14,15,24,
2019/11/25,,11,13,17,
2019/12/2,,9,11,17,
2019/12/9,,12,20,11,
2019/12/16,,4,25,6,
2019/12/23,,10,23,7,
2019/8/5,,5,21,4,
2019/9/8,,4,6,9,
2019/4/24,,11,29,10,
2019/1/1,,9,22,5,1
2019/3/13,,10,34,3,
2019/3/15,,7,31,9,
2018/12/27,,16,10,14,
2018/7/12,,10,13,10,1
2018/9/16,,5,,3,
2018/4/2,,15,17,17,1
2018/4/9,,11,20,19,2
2018/4/12,,21,19,13,
2018/4/23,,7,32,4,
2018/5/7,,8,18,8,1
2018/6/3,,11,27,5,1
2018/2/13,,8,8,26,3
2018/3/6,,27,23,17,3
2014/8/13,,7,10,2,
2014/9/15,,27,6,9,
2014/5/26,,9,11,2,
2019/10/2,,,25,7,
2019/10/3,,,21,7,
2019/10/4,,,9,10,1
2019/10/5,,,17,6,
2019/10/6,,,25,3,
2019/10/7,,,23,2,
2019/10/8,,,22,4,
2019/10/9,,,23,3,
2019/10/10,,,24,5,
2019/10/11,,,17,4,
2019/10/12,,,18,10,1
2019/10/13,,,18,12,
2019/10/14,,,21,11,
2019/10/15,,,25,6,
2019/10/16,,,18,8,
2019/10/17,,,17,12,
2019/10/18,,,15,9,
2019/10/19,,,22,8,
2019/10/20,,,16,15,
2019/10/21,,,22,6,
2019/10/22,,,26,7,
2019/10/23,,,20,7,
2019/10/24,,,15,12,
2019/10/25,,,20,6,
2019/10/26,,,15,6,
2019/7/28,,,16,7,
2019/7/29,,,12,9,
2019/7/30,,,15,5,
2019/7/31,,,20,8,1
2019/8/1,,,23,11,1
2019/8/2,,,23,6,
2019/8/3,,,17,5,
2019/8/4,,,21,1,
2019/3/12,,,34,5,
2018/12/26,,,4,16,1
2018/5/29,,,38,15,1
2018/5/30,,,22,20,1
2018/3/5,,,11,20,2
2018/3/28,,,27,14,1
2018/3/29,,,22,9,1
